CustomerKey,First Name,Last Name,Full Name,Gender,Date First Purchase,Customer City
29483,Jésus,Navarro,Jésus Navarro,Male,09-09-2023,Paris La Defense
29482,Clayton,Zhang,Clayton Zhang,Male,18-09-2023,Saint Ouen
29481,Ivan,Suri,Ivan Suri,Male,13-08-2022,Hof
29480,Nina,Raji,Nina Raji,Female,17-07-2024,London
29479,Tommy,Tang,Tommy Tang,Male,04-09-2023,Versailles
29478,Darren,Carlson,Darren Carlson,Male,26-06-2024,Stoke-on-Trent
29477,Neil,Ruiz,Neil Ruiz,Male,18-06-2024,London
29476,Elizabeth,Bradley,Elizabeth Bradley,Female,21-07-2022,Hamburg
29475,Jared,Ward,Jared Ward,Male,29-06-2022,Hamburg
29474,Jaime,Raje,Jaime Raje,Male,19-06-2022,Saarbrücken
29473,Carmen,Subram,Carmen Subram,Female,03-06-2024,Oxford
29472,Lacey,Sharma,Lacey Sharma,Female,01-09-2024,Paris
29471,Dana,Ortega,Dana Ortega,Female,21-01-2025,Dunkerque
29470,Nathan,Roberts,Nathan Roberts,Male,05-12-2024,Drancy
29469,Dominique,Saunders,Dominique Saunders,Female,16-06-2024,Oxon
29468,Jacqueline,Morris,Jacqueline Morris,Female,04-06-2024,Cheltenham
29467,Monica,Mehta,Monica Mehta,Female,04-06-2022,Sulzbach Taunus
29466,Lance,Jimenez,Lance Jimenez,Male,15-06-2022,Solingen
29465,Roy,Gill,Roy Gill,Male,20-10-2024,Matraville
29464,Eugene,Gao,Eugene Gao,Male,15-10-2024,Rockhampton
29463,Lucas,Gonzales,Lucas Gonzales,Male,09-10-2024,Gold Coast
29462,Clinton,Hernandez,Clinton Hernandez,Male,30-09-2024,Rockhampton
29461,Colin,Xu,Colin Xu,Male,19-10-2024,Findon
29460,Andres,Chander,Andres Chander,Male,06-09-2024,South Melbourne
29459,Marco,Malhotra,Marco Malhotra,Male,19-09-2024,Hervey Bay
29458,Danny,Moreno,Danny Moreno,Male,14-09-2024,St. Leonards
29457,Cynthia,Kapoor,Cynthia Kapoor,Female,12-09-2024,Cranbourne
29456,Lindsay,She,Lindsay She,Female,08-09-2024,Lane Cove
29455,Dawn,Zeng,Dawn Zeng,Female,27-09-2024,Sunbury
29454,Victoria,Bradley,Victoria Bradley,Female,14-09-2024,Caloundra
29453,Victor,Vazquez,Victor Vazquez,Male,03-09-2024,Melton
29452,Meredith,Romero,Meredith Romero,Female,10-08-2024,Darlinghurst
29451,Geoffrey,Lopez,Geoffrey Lopez,Male,08-02-2024,Paris
29450,Bradley,Chande,Bradley Chande,Male,16-09-2023,Colomiers
29449,Laura,Chen,Laura Chen,Female,13-05-2022,Salzgitter
29448,Lindsey,Yuan,Lindsey Yuan,Female,01-05-2022,Hamburg
29447,Lindsay,Deng,Lindsay Deng,Female,26-12-2024,Dunkerque
29446,Jamie,Ma,Jamie Ma,Female,01-12-2024,Braunschweig
29445,Bonnie,Lal,Bonnie Lal,Female,07-09-2024,Dunkerque
29444,Beth,Blanco,Beth Blanco,Female,08-10-2024,Wokingham
29443,Gabriel,Phillips,Gabriel Phillips,Male,26-06-2024,Runcorn
29442,Damien,Yuan,Damien Yuan,Male,19-04-2024,Saarbrücken
29441,Adriana,Patel,Adriana Patel,Female,25-12-2024,Neunkirchen
29440,Rafael,Cai,Rafael Cai,Male,03-12-2024,München
29439,Laura,Zhu,Laura Zhu,Female,05-07-2024,High Wycombe
29438,Terrance,Fernandez,Terrance Fernandez,Male,11-05-2024,Bonn
29437,Haley,Bell,Haley Bell,Female,27-09-2024,Saint-Denis
29436,Adriana,Raman,Adriana Raman,Female,30-04-2024,Hamburg
29435,Stanley,Rodriguez,Stanley Rodriguez,Male,22-04-2024,Sulzbach Taunus
29434,Donna,Yuan,Donna Yuan,Female,03-04-2024,Solingen
29433,Thomas,King,Thomas King,Male,05-04-2024,Runcorn
29432,Gabrielle,Roberts,Gabrielle Roberts,Female,07-04-2024,Leeds
29431,Marie,Gutierrez,Marie Gutierrez,Female,07-03-2024,Birmingham
29430,Donna,Goel,Donna Goel,Female,24-08-2024,Braunschweig
29429,Marie,Suarez,Marie Suarez,Female,12-12-2024,Paris
29428,Kristopher,Perez,Kristopher Perez,Male,05-02-2024,Braunschweig
29427,Wesley,Chen,Wesley Chen,Male,17-05-2024,Paris
29426,Neil,Gomez,Neil Gomez,Male,12-10-2024,Paris
29425,Tommy,Xie,Tommy Xie,Male,04-02-2024,Peterborough
29424,Erik,Gill,Erik Gill,Male,24-06-2024,Stuttgart
29423,Tony,Luo,Tony Luo,Male,22-11-2024,Versailles
29422,Ian,Adams,Ian Adams,Male,14-10-2024,Versailles
29421,Blake,Williams,Blake Williams,Male,02-12-2024,Saint-Denis
29420,Linda,Travers,Linda Travers,Female,16-09-2024,Paris
29419,Carrie,Vazquez,Carrie Vazquez,Female,07-10-2024,Pantin
29418,Lindsey,Sharma,Lindsey Sharma,Female,22-12-2024,Berlin
29417,Kellie,Vazquez,Kellie Vazquez,Female,10-07-2024,München
29416,Pedro,Ramos,Pedro Ramos,Male,14-07-2024,Bury
29415,Oscar,Flores,Oscar Flores,Male,02-08-2023,Saint-Denis
29414,Lydia,Patel,Lydia Patel,Female,20-08-2023,Villeneuve-d'Ascq
29413,Arthur,Garcia,Arthur Garcia,Male,14-12-2024,Roissy en Brie
29412,Melinda,Gutierrez,Melinda Gutierrez,Female,09-08-2023,Chatou
29411,Cara,Lin,Cara Lin,Female,14-02-2024,York
29410,Lucas,Price,Lucas Price,Male,28-05-2022,Hof
29409,Kelsey,Pal,Kelsey Pal,Female,12-04-2024,Hamburg
29408,Heather,Chen,Heather Chen,Female,31-07-2024,Les Ulis
29407,Samantha,Smith,Samantha Smith,Female,27-06-2024,Cheltenham
29406,Melissa,Ward,Melissa Ward,Female,01-08-2024,Darmstadt
29405,Meagan,Vance,Meagan Vance,Female,13-08-2024,Versailles
29404,Chloe,Ross,Chloe Ross,Female,05-08-2023,Versailles
29403,Erik,Romero,Erik Romero,Male,24-05-2022,Paderborn
29402,Damien,Andersen,Damien Andersen,Male,01-10-2024,Saint Germain en Laye
29401,Jésus,Gomez,Jésus Gomez,Male,22-01-2024,Warrington
29400,Marvin,Browning,Marvin Browning,Male,06-05-2022,Paderborn
29399,Janet,Gomez,Janet Gomez,Female,10-04-2022,Leipzig
29398,Bruce,Suri,Bruce Suri,Male,12-04-2022,Kiel
29397,Walter,Ramos,Walter Ramos,Male,08-08-2023,Paris
29396,Arturo,Zeng,Arturo Zeng,Male,06-05-2024,Bonn
29395,Lydia,Rana,Lydia Rana,Female,05-12-2024,Paris
29394,Raquel,Torres,Raquel Torres,Female,22-03-2024,Eilenburg
29393,Sheena,Rai,Sheena Rai,Female,29-01-2024,Orly
29392,Tamara,Andersen,Tamara Andersen,Female,08-12-2024,Milton Keynes
29391,Ebony,Chandra,Ebony Chandra,Female,30-04-2022,Bottrop
29390,Summer,Rodriguez,Summer Rodriguez,Female,02-08-2023,Paris
29389,Thomas,Phillips,Thomas Phillips,Male,30-07-2023,Paris
29388,Calvin,Kumar,Calvin Kumar,Male,19-07-2023,Paris
29387,Jenny,Cai,Jenny Cai,Female,12-06-2024,Paris
29386,Franklin,Wang,Franklin Wang,Male,14-03-2024,York
29385,Don,Lal,Don Lal,Male,19-01-2022,Berlin
29384,Latasha,Sanz,Latasha Sanz,Female,14-06-2024,York
29383,Kaitlin,Vance,Kaitlin Vance,Female,01-09-2024,Berkshire
29382,Karla,Deng,Karla Deng,Female,30-05-2024,Wokingham
29381,Melvin,Shen,Melvin Shen,Male,23-12-2024,Mühlheim
29380,Teresa,Blanco,Teresa Blanco,Female,25-07-2023,Paris La Defense
29379,Craig,Gill,Craig Gill,Male,25-04-2024,Saint Ouen
29378,Dominic,Vance,Dominic Vance,Male,11-11-2024,Orleans
29377,Rebekah,Carlson,Rebekah Carlson,Female,14-07-2024,Saarlouis
29376,Matthew,Robinson,Matthew Robinson,Male,01-08-2024,Oxford
29375,Sergio,Malhotra,Sergio Malhotra,Male,25-12-2024,Frankfurt am Main
29374,Shane,Sai,Shane Sai,Male,02-12-2024,Bonn
29373,Bobby,Subram,Bobby Subram,Male,10-05-2024,Maidenhead
29372,Daisy,Sanz,Daisy Sanz,Female,22-06-2024,Suresnes
29371,Matthew,Walker,Matthew Walker,Male,31-10-2024,Paderborn
29370,Mason,Kelly,Mason Kelly,Male,01-10-2024,Bottrop
29369,Arturo,He,Arturo He,Male,13-12-2024,York
29368,Jermaine,Kapoor,Jermaine Kapoor,Male,06-11-2024,W. York
29367,Randy,Ye,Randy Ye,Male,21-11-2024,Reading
29366,Dominic,Patel,Dominic Patel,Male,20-11-2024,Esher-Molesey
29365,Cheryl,Carlson,Cheryl Carlson,Female,01-11-2024,Saarlouis
29364,Lee,Rubio,Lee Rubio,Male,23-07-2023,Boulogne-Billancourt
29363,Cristina,Jai,Cristina Jai,Female,04-11-2024,Hamburg
29362,Emmanuel,Chandra,Emmanuel Chandra,Male,11-11-2024,Darmstadt
29361,Sheena,Nara,Sheena Nara,Female,07-07-2023,Bobigny
29360,Bryant,Rodriguez,Bryant Rodriguez,Male,02-11-2024,Newcastle upon Tyne
29359,Harold,Fernandez,Harold Fernandez,Male,13-11-2024,London
29358,Priscilla,Chande,Priscilla Chande,Female,31-10-2024,London
29357,Richard,Brown,Richard Brown,Male,03-10-2024,Esher-Molesey
29356,Casey,Diaz,Casey Diaz,Male,04-01-2024,Frankfurt
29355,Virginia,Fernandez,Virginia Fernandez,Female,31-12-2023,Berlin
29354,Isaiah,Edwards,Isaiah Edwards,Male,23-08-2022,Marysville
29353,Orlando,Gomez,Orlando Gomez,Male,01-09-2024,Burien
29352,Lydia,Gonzalez,Lydia Gonzalez,Female,08-08-2022,Beverly Hills
29351,Jason,Hall,Jason Hall,Male,11-10-2024,Cliffside
29350,Julia,Thompson,Julia Thompson,Female,15-08-2022,West Covina
29349,Gabrielle,Bryant,Gabrielle Bryant,Female,25-07-2024,Salem
29348,Miguel,Bryant,Miguel Bryant,Male,23-08-2024,Seattle
29347,Jonathan,Edwards,Jonathan Edwards,Male,26-02-2024,San Gabriel
29346,Briana,Ortega,Briana Ortega,Female,29-11-2024,Sunbury
29345,Randall,Diaz,Randall Diaz,Male,27-12-2024,Newcastle
29344,Gilbert,Ye,Gilbert Ye,Male,26-12-2024,Lane Cove
29343,Glenn,Wu,Glenn Wu,Male,19-12-2024,Warrnambool
29342,Cassie,Anand,Cassie Anand,Female,11-08-2024,Gold Coast
29341,Lucas,Stewart,Lucas Stewart,Male,07-09-2024,N. Vancouver
29340,Rachel,Cox,Rachel Cox,Female,26-08-2022,Langley
29339,Brandon,Li,Brandon Li,Male,23-12-2024,Langley
29338,Bridget,Shan,Bridget Shan,Female,24-07-2024,Milsons Point
29337,Hector,Gomez,Hector Gomez,Male,15-05-2024,East Brisbane
29336,Nathaniel,Bailey,Nathaniel Bailey,Male,22-04-2023,Shawnee
29335,Justin,Bryant,Justin Bryant,Male,15-08-2022,Seattle
29334,Paige,Howard,Paige Howard,Female,14-08-2022,Walla Walla
29333,Abby,Martinez,Abby Martinez,Female,08-03-2024,Townsville
29332,Shawna,Goel,Shawna Goel,Female,16-03-2024,Newcastle
29331,Melvin,Yuan,Melvin Yuan,Male,19-08-2024,Lavender Bay
29330,Alexa,Ward,Alexa Ward,Female,09-09-2024,W. Linn
29329,Lucas,Campbell,Lucas Campbell,Male,15-11-2024,Portland
29328,Jason,Alexander,Jason Alexander,Male,16-08-2024,Glendale
29327,Allen,Chandra,Allen Chandra,Male,09-07-2024,Bremerton
29326,Victoria,Diaz,Victoria Diaz,Female,10-08-2022,Concord
29325,Cameron,Thomas,Cameron Thomas,Male,18-08-2024,Bremerton
29324,Kayla,Williams,Kayla Williams,Female,03-04-2024,Ballard
29323,Andrea,Cooper,Andrea Cooper,Female,13-08-2024,Port Hammond
29322,Gavin,Alexander,Gavin Alexander,Male,19-12-2024,Milwaukie
29321,Roger,Zheng,Roger Zheng,Male,25-05-2024,Rockhampton
29320,Wesley,Huang,Wesley Huang,Male,29-08-2024,Malabar
29319,Alvin,Pal,Alvin Pal,Male,02-05-2024,Rhodes
29318,Edgar,Perez,Edgar Perez,Male,09-05-2024,Rhodes
29317,James,Hill,James Hill,Male,25-05-2024,Brisbane
29316,Max,Romero,Max Romero,Male,13-05-2024,Matraville
29315,Jill,Gomez,Jill Gomez,Female,10-05-2024,Lavender Bay
29314,Meredith,Malhotra,Meredith Malhotra,Female,20-11-2024,Hawthorne
29313,Jésus,Sanz,Jésus Sanz,Male,07-11-2024,Cloverdale
29312,Colleen,She,Colleen She,Female,15-05-2024,Port Macquarie
29311,Marie,Carlson,Marie Carlson,Female,23-11-2024,Gold Coast
29310,Armando,Gutierrez,Armando Gutierrez,Male,17-05-2024,Bendigo
29309,Rodney,Navarro,Rodney Navarro,Male,21-05-2024,Perth
29308,Phillip,Vance,Phillip Vance,Male,07-05-2024,Hobart
29307,Ross,Malhotra,Ross Malhotra,Male,29-01-2024,East Brisbane
29306,Rafael,Anand,Rafael Anand,Male,16-05-2024,Cranbourne
29305,Beth,Alvarez,Beth Alvarez,Female,29-12-2024,Matraville
29304,Willie,Wang,Willie Wang,Male,02-04-2024,Warrnambool
29303,Arturo,Pal,Arturo Pal,Male,23-05-2024,Seaford
